shopping,idade_media,ticket_medio,freq_media,clientes
Balneário Shopping,42.1611941667431,2731.0655824145615,5.844898146168647,65486
Continente Shopping,41.84021953387701,1825.5587685746266,6.54942298043151,51818
Garten Shopping,41.338121070151644,2019.5630661219798,6.258165171514791,48713
Neumarkt Shopping,43.039856683317204,2668.724272575251,8.851745401337793,38272
Norte Shopping,40.5323830059096,1612.5384791101899,5.712087386381757,25084
Nações Shopping,39.89472181432534,1467.9853945439738,5.476954397394136,24560
