faixa_etaria,Feminino,Masculino,Nao Informado,Outro
16-24 (Gen Z),10607,6055,3,44
25-39 (Millennials),62792,38008,15,140
40-54 (Gen X),59707,37046,5,58
55-69 (Boomers),20669,12284,1,17
70+ (Silent),3903,2352,1,3
Nao Informado,79,56,172,0
