shopping,Feminino,Masculino,Nao Informado,Outro
Balneário Shopping,34719.0,17849.0,57.0,41.0
Continente Shopping,25777.0,15997.0,49.0,55.0
Garten Shopping,24376.0,15232.0,26.0,35.0
Nações Shopping,14817.0,8843.0,30.0,26.0
Neumarkt Shopping,21913.0,12305.0,28.0,37.0
Norte Shopping,14323.0,9855.0,22.0,30.0
