genero,qtd_clientes,valor_total,ticket_medio,freq_media,idade_media,qtd_high_spenders,pct_clientes,pct_valor,shopping,sigla
Feminino,27152,66045806.64,2432.447209781968,8.90251178550383,43.03279050917397,2952,63.55061439438268,67.70572626500676,Neumarkt Shopping,NK
Masculino,15501,31420474.87,2026.996636991162,5.462873363008838,42.71158438205873,1319,36.28086600351082,32.21016108199574,Neumarkt Shopping,NK
Nao Informado,27,32943.619999999995,1220.1340740740739,5.703703703703703,38.6,1,0.06319485078993564,0.03377158719638588,Neumarkt Shopping,NK
Outro,45,49106.87,1091.263777777778,3.466666666666667,36.22222222222222,1,0.1053247513165594,0.05034106580110462,Neumarkt Shopping,NK
Feminino,30588,61263388.23,2002.856944880345,7.045508042369557,41.36671026814912,3264,61.22130376478594,62.428965744007755,Garten Shopping,GS
Masculino,19301,36773520.05,1905.265014766074,4.561525309569452,41.48045214144975,1730,38.63058663410924,37.47316121121485,Garten Shopping,GS
Nao Informado,27,23277.18,862.1177777777777,2.5185185185185186,57.0,0,0.054039989592298304,0.023720044137642084,Garten Shopping,GS
Outro,47,72768.53,1548.266595744681,6.0212765957446805,33.06382978723404,3,0.09406961151251926,0.07415300063973952,Garten Shopping,GS
Feminino,32423,60064503.9,1852.527647040681,7.334978256176171,41.668312858818446,3381,61.11550931161879,63.426364266996615,Continente Shopping,CS
Masculino,20517,34512192.07,1682.1266301116148,4.925720134522591,42.156036668617126,1920,38.67337706401266,36.44386823753275,Continente Shopping,CS
Nao Informado,46,51437.189999999995,1118.1997826086956,4.543478260869565,39.125,2,0.08670738143708061,0.05431617241428203,Continente Shopping,CS
Outro,66,71452.09,1082.6074242424243,5.53030303030303,36.984848484848484,3,0.12440624293146346,0.07545132305634886,Continente Shopping,CS
Feminino,18060,25146992.28,1392.4137475083057,5.603377630121816,40.43979608799246,1779,58.95025460242852,58.47327669797323,Norte Shopping,NR
Masculino,12520,17813361.02,1422.7924137380191,3.9108626198083067,41.33778488604558,1285,40.866953910432166,41.42068269022233,Norte Shopping,NR
Nao Informado,20,11754.16,587.708,2.15,33.666666666666664,0,0.06528267397832616,0.02733146940116884,Norte Shopping,NR
Outro,36,33849.62,940.2672222222222,3.611111111111111,35.77777777777778,0,0.11750881316098707,0.0787091424033017,Norte Shopping,NR
Feminino,45408,124907550.54,2750.7829135835095,6.3966481677237494,42.344509307192425,4886,65.12721952898654,68.94802606710623,Balneário Shopping,BS
Masculino,24203,56122205.41,2318.811941081684,4.06028178325001,42.04190775334766,2085,34.71357677634032,30.97903421229134,Balneário Shopping,BS
Nao Informado,54,49025.12,907.8725925925927,2.6296296296296298,26.0,0,0.07745044605719859,0.027061496579588687,Balneário Shopping,BS
Outro,57,83113.86,1458.137894736842,3.456140350877193,35.24561403508772,2,0.08175324861593185,0.0458782240228359,Balneário Shopping,BS
Feminino,15588,23282594.82,1493.6229676674366,5.94983320502951,39.757336415591084,1672,62.32208539900847,64.74627880679837,Nações Shopping,NS
Masculino,9369,12631402.54,1348.212460241221,4.402390863485964,40.261668268717294,828,37.45802015032784,35.126510464083275,Nações Shopping,NS
Nao Informado,29,16994.78,586.0268965517241,3.0689655172413794,32.4,0,0.11594434671357748,0.047260572657261954,Nações Shopping,NS
Outro,26,28749.87,1105.7642307692308,7.615384615384615,33.34615384615385,2,0.10395010395010396,0.07995015646109192,Nações Shopping,NS
