faixa_etaria,Feminino,Masculino,Nao Informado,Outro
16-24 (Gen Z),11134570.55,5594691.96,3114.0,37494.11
25-39 (Millennials),94208745.79,50479504.69,18973.32,161983.68
40-54 (Gen X),119474247.03,59908801.69,3934.95,46907.91
55-69 (Boomers),37410132.53,19251328.73,525.59,9862.3
70+ (Silent),6662060.36,4127132.92,0.0,1791.49
Nao Informado,55576.14,143152.3,161619.02,0.0
