faixa_etaria,Feminino,Masculino,Nao Informado,Outro
Boomers (1946-1964),137786.07,57303.51,0.0,0.0
Gen X (1965-1980),945106.06,330122.61,0.0,0.0
Gen Z (1997-2012),606711.35,297418.06,0.0,6751.599999999999
Millennials (1981-1996),2159323.1,637586.89,694.39,806.1800000000001
Nao Informado,0.0,0.0,7181.74,0.0
Silent (antes 1946),4430.08,424.3,0.0,0.0
