loja,valor,clientes
Havan,605326.98,1446
Casas Bahia,535402.57,256
Pittol,351441.68,1002
Renner,333615.64,1022
Atacadão,323194.61,967
Centauro,305822.10000000003,721
Samsung,290943.73,102
Riachuelo,269104.69,921
Magazine Luiza,259980.0,139
CVC,204442.85,30
Idéli.oui,178518.75,356
Game Mania,175162.64,80
Superlegal Brinquedos,142017.61000000002,511
NXT Eletric,133710.0,18
Vivara,123724.34,100
Toni Toys ,119704.8,379
Polo Wear,116364.01,406
Claro,115901.84,48
O Boticário,99465.84,364
Kalunga,97214.69,485
