perfil;shopping;genero;ranking;loja;valor;pct_valor;cupons;clientes
Pontual;Balneário Shopping;Feminino;1;Renner;202105,15;21,28;819;735
Pontual;Balneário Shopping;Feminino;2;Zara;161407,6;17,0;490;444
Pontual;Balneário Shopping;Feminino;3;Centauro;114534,0;12,06;351;333
Pontual;Balneário Shopping;Feminino;4;C&A;109405,23;11,52;463;431
Pontual;Balneário Shopping;Feminino;5;Riachuelo;87589,96;9,22;360;330
Pontual;Balneário Shopping;Feminino;6;Sephora;69614,21;7,33;225;212
Pontual;Balneário Shopping;Feminino;7;Studio Z;56323,55;5,93;331;308
Pontual;Balneário Shopping;Feminino;8;Valenttina;52823,9;5,56;203;187
Pontual;Balneário Shopping;Feminino;9;O Boticário;49419,12;5,2;238;228
Pontual;Balneário Shopping;Feminino;10;Alô Bebê;46453,18;4,89;198;185
Pontual;Balneário Shopping;Masculino;1;Centauro;128148,54000000001;21,97;345;328
Pontual;Balneário Shopping;Masculino;2;Renner;95865,36;16,43;384;342
Pontual;Balneário Shopping;Masculino;3;Zara;87859,1;15,06;244;225
Pontual;Balneário Shopping;Masculino;4;C&A;55242,39;9,47;231;207
Pontual;Balneário Shopping;Masculino;5;Democrata;49610,9;8,5;123;119
Pontual;Balneário Shopping;Masculino;6;Riachuelo;41542,62;7,12;164;160
Pontual;Balneário Shopping;Masculino;7;Vans;34419,96;5,9;69;67
Pontual;Balneário Shopping;Masculino;8;Outback Steakhouse;32266,23;5,53;106;103
Pontual;Balneário Shopping;Masculino;9;Life Vivara;29976,5;5,14;58;58
Pontual;Balneário Shopping;Masculino;10;Superlegal Brinquedos;28463,3;4,88;140;128
Pontual;Continente Shopping;Feminino;1;Renner;210378,19;20,46;857;753
Pontual;Continente Shopping;Feminino;2;Nike Unite;159905,14;15,55;486;441
Pontual;Continente Shopping;Feminino;3;C&A;156915,55;15,26;650;586
Pontual;Continente Shopping;Feminino;4;Riachuelo;116757,59;11,35;556;493
Pontual;Continente Shopping;Feminino;5;Centauro;94063,52;9,15;360;343
Pontual;Continente Shopping;Feminino;6;Decathlon;62612,08;6,09;323;298
Pontual;Continente Shopping;Feminino;7;O Boticário;59508,65;5,79;301;279
Pontual;Continente Shopping;Feminino;8;Carioca Calçados;57843,4;5,62;199;192
Pontual;Continente Shopping;Feminino;9;Pernambucanas;57133,46;5,56;291;251
Pontual;Continente Shopping;Feminino;10;Studio Z;53265,06;5,18;332;306
Pontual;Continente Shopping;Masculino;1;Nike Unite;166100,42;22,48;449;408
Pontual;Continente Shopping;Masculino;2;Centauro;105652,41;14,3;345;321
Pontual;Continente Shopping;Masculino;3;Renner;87654,24;11,86;385;354
