quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,6.0,1.0,366.482,Garten Shopping
40%,10.0,2.0,620.4540000000001,Garten Shopping
60%,16.0,3.0,999.788,Garten Shopping
80%,28.0,6.0,1781.94,Garten Shopping
20%,5.0,1.0,382.878,Neumarkt Shopping
40%,9.0,2.0,690.0,Neumarkt Shopping
60%,15.0,4.0,1159.854,Neumarkt Shopping
80%,26.0,7.0,2184.684,Neumarkt Shopping
20%,7.0,1.0,334.656,Nações Shopping
40%,11.0,2.0,539.784,Nações Shopping
60%,19.0,3.0,860.384,Nações Shopping
80%,35.0,5.0,1499.958,Nações Shopping
20%,6.0,1.0,367.76,Continente Shopping
40%,10.0,2.0,624.742,Continente Shopping
60%,18.0,4.0,1003.9839999999999,Continente Shopping
80%,31.0,6.0,1764.0980000000002,Continente Shopping
20%,6.0,1.0,429.8,Balneário Shopping
40%,11.0,2.0,787.892,Balneário Shopping
60%,18.0,4.0,1339.6399999999999,Balneário Shopping
80%,32.0,6.0,2564.7039999999997,Balneário Shopping
20%,7.0,1.0,351.836,Norte Shopping
40%,14.0,2.0,565.4,Norte Shopping
60%,27.0,3.0,914.5639999999997,Norte Shopping
80%,50.0,5.0,1688.202,Norte Shopping
