quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,6.0,1.0,375.802,Global
40%,10.0,2.0,649.0,Global
60%,17.0,4.0,1070.048,Global
80%,31.0,6.0,1971.1160000000004,Global
