shopping_principal,qtd_clientes,valor_total,R_score_medio,F_score_medio,V_score_medio,score_total_medio,ticket_medio,vip_quintis,vip_valor_quintis,vip_ticket_quintis,premium_quintis,premium_valor_quintis,premium_ticket_quintis,potencial_quintis,potencial_valor_quintis,potencial_ticket_quintis,pontual_quintis,pontual_valor_quintis,pontual_ticket_quintis,pct_valor
Balneário Shopping,24385,46553578.82,2.9785933975804797,3.0340783268402705,3.266434283370925,9.279106007791675,1909.1071896657782,4747,21324893.45,4492.2884874657675,7082,14891341.53,2102.702842417396,7045,7793127.61,1106.1927054648688,5511,2544216.23,461.66144619851207,31.37
Continente Shopping,20148,26855072.42,2.985556879094699,3.026454238634108,2.9197438951756998,8.931755012904507,1332.8902332737741,3117,9415619.15,3020.7311998716714,5541,8845016.67,1596.2852680021656,6555,6454184.2700000005,984.6200259344013,4935,2140252.33,433.68841540020264,18.09
Garten Shopping,19230,26409710.14,3.0863754550182008,3.016952678107124,2.918408736349454,9.021736869474779,1373.359861674467,3088,9458772.01,3063.073837435233,5427,9230746.82,1700.8930937903078,6240,5904642.31,946.2567804487179,4475,1815549.0,405.70927374301675,17.79
Neumarkt Shopping,15898,26064452.99,3.216819725751667,3.1687004654673543,3.0835954208076486,9.46911561202667,1639.4799968549503,3462,12370258.4,3573.1537839399193,4503,8079879.31,1794.3325138796356,4616,4258550.21,922.5628704506066,3317,1355765.07,408.7323093156467,17.56
Nações Shopping,10604,11725007.0,2.90465861938891,2.823934364390796,2.7181252357600907,8.446718219539797,1105.7154847227462,1340,3694595.52,2757.1608358208955,2595,3727411.03,1436.3818998073216,3457,2983032.12,862.8961874457623,3212,1319968.33,410.94904420921546,7.9
Norte Shopping,8807,10815808.02,2.6271147950493927,2.7155671624843873,2.812535483138413,8.155217440672192,1228.0922016577722,1107,3019339.8,2727.4975609756098,1901,3105560.19,1633.6455497106786,2668,3198586.22,1198.8703973013494,3131,1492321.81,476.62785372085597,7.29
