segmento,valor,clientes
Moda,669978.65,1131
Casa e Decoração,639037.73,810
Eletrodomésticos,473148.19,442
Eletrônicos,384205.07,128
Telefonia,209257.55,99
Esportes,199908.42,380
Calçados,190755.66,462
Supermercado,187890.99,421
Beleza e Bem-estar,185579.87,583
Serviços,116102.75,450
Joalheria,97951.33,122
Gastronomia,86186.47,578
Outros,65466.99,39
Infantil,45711.76,165
Papelaria,45629.270000000004,159
Ótica,40441.81,57
Pets,29902.89,186
Livrarias,19311.04,133
Presentes e Acessórios,13907.3,91
Gastronomia - Sorvetes,2398.17,74
