segmento,valor,clientes
Moda,671598.36,945
Casa e Decoração,170416.63999999998,274
Gastronomia,169965.37,505
Joalheria,146113.41,78
Eletrônicos,116655.01,35
Calçados Femininos,112047.67,120
Beleza e Bem-estar,107602.88,317
Calçados,92959.17,209
Esportes,86833.93000000001,159
Presentes e Acessórios,51129.259999999995,68
Infantil,38278.39,127
Pets,35435.42,174
Livrarias,16674.37,99
Farmácias,8530.12,74
Eletrodomésticos,8056.75,61
Ótica,6997.55,16
Papelaria,5299.86,37
Serviços,1924.0,136
Outros,59.0,1
