dia_semana,valor,transacoes
Domingo,375478.39,1272
Quarta,167551.77,683
Quinta,165469.46,619
Sabado,533117.61,1709
Segunda,257918.59,1013
Sexta,227893.07,760
Terca,119148.27,504
