loja,valor,clientes
Vivara,1959656.02,530
Renner,1671498.61,3974
Havan,1319542.42,3081
Centauro,967900.12,2344
Riachuelo,911063.67,2639
Idéli.Oui,642757.78,620
Shoulder,641538.89,556
Livrarias Catarinense,602508.21,3174
Ri Happy,589889.88,1639
Hering Store,563852.9,1484
Life by Vivara,552446.35,668
Track & Field,536477.09,645
Vivo,533842.19,113
Brooksfield,518426.14,389
Avatim,498714.27,2024
Le Lis ,489274.1,275
Cia do Homem,489213.05,717
Luz da Lua,446889.8,482
Adidas,439540.87,706
Cvc Viagens,433284.01,30
