segmento,valor,clientes
Moda,231853.0,499
Casa e Decoração,128502.23,299
Eletrodomésticos,100272.99,133
Eletrônicos,82899.46,38
Esportes,76849.72,190
Beleza e Bem-estar,73827.99,252
Telefonia,67989.9,35
Calçados,62030.5,180
Supermercado,44102.33,179
Joalheria,37440.67,76
Gastronomia,24032.47,218
Pets,19594.079999999998,137
Serviços,14411.67,2
Infantil,13517.87,62
Papelaria,12944.85,86
Livrarias,9119.52,58
Ótica,4969.57,9
Presentes e Acessórios,2822.77,35
Lazer,1562.52,7
Gastronomia - Sorvetes,1111.35,36
