segmento,valor,clientes
Moda,5943921.66,5895
Joalheria,2281271.75,681
Beleza e Bem-estar,1599137.77,2761
Calçados,1023222.42,1706
Moda Feminina,876101.71,668
Gastronomia,807386.0,3289
Eletrônicos,629367.29,219
Ótica,581232.19,387
Esportes,515958.81,1016
Casa e Decoração,506099.68,498
Infantil,500898.67,1222
Presentes e Acessórios,450184.12,967
Telefonia,278700.05,59
Calçados Femininos,269237.27999999997,483
Livrarias,148295.01,886
Eletrodomésticos,88996.29,52
Não informado,36574.4,47
Serviços,18674.34,381
Lazer,11069.47,116
Farmácias,5721.95,34
