quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,4.0,1.0,363.86,Neumarkt Shopping
40%,8.0,2.0,659.88,Neumarkt Shopping
60%,11.0,4.0,1117.45,Neumarkt Shopping
80%,17.0,7.0,2061.3,Neumarkt Shopping
20%,5.0,1.0,357.89000000000004,Garten Shopping
40%,9.0,2.0,619.84,Garten Shopping
60%,13.0,4.0,1003.1360000000001,Garten Shopping
80%,18.0,6.0,1735.4420000000007,Garten Shopping
20%,3.0,1.0,349.97,Continente Shopping
40%,8.0,2.0,599.8,Continente Shopping
60%,11.0,4.0,961.6119999999999,Continente Shopping
80%,17.0,6.0,1675.7480000000003,Continente Shopping
20%,4.0,1.0,297.35400000000004,Norte Shopping
40%,8.0,2.0,479.84400000000005,Norte Shopping
60%,12.0,3.0,783.7719999999999,Norte Shopping
80%,18.0,5.0,1399.5680000000004,Norte Shopping
20%,11.0,1.0,159.76,Nações Shopping
40%,24.0,2.0,352.08400000000006,Nações Shopping
60%,25.0,3.0,599.908,Nações Shopping
80%,27.0,4.0,1065.2760000000003,Nações Shopping
20%,3.0,1.0,446.518,Balneário Shopping
40%,8.0,2.0,825.994,Balneário Shopping
60%,12.0,4.0,1409.752,Balneário Shopping
80%,18.0,6.0,2765.165999999999,Balneário Shopping
