segmento,valor,clientes
Moda,620816.4400000001,1045
Joalheria,227301.64,155
Casa e Decoração,122868.27,427
Eletrônicos,117173.06999999999,47
Presentes e Acessórios,113726.09,176
Ótica,104978.37,51
Beleza e Bem-estar,93665.69,377
Calçados,92105.51,310
Gastronomia,88141.33,661
Moda Feminina,76150.82,124
Esportes,65897.14,202
Telefonia,60810.979999999996,22
Papelaria,58644.97,308
Infantil,45399.29,176
Eletrodomésticos,45111.33,217
Livrarias,45095.11,284
Pets,29388.11,129
Farmácias,21694.72,143
Serviços,1026.0,1
Salão de Beleza | Barbearia,994.03,3
