faixa_etaria,qtd_clientes,valor_total,pct_clientes
Boomers (1946-1964),204,189278.55,9.631728045325778
Gen X (1965-1980),799,862516.45,37.724268177525964
Gen Z (1997-2012),149,114890.19,7.0349386213408875
Millennials (1981-1996),960,857264.32,45.3257790368272
Silent (antes 1946),6,7039.4,0.28328611898017
