dia_semana,valor,transacoes
Domingo,249838.14,886
Quarta,300100.2,1096
Quinta,269612.94,912
Sabado,300718.4,1050
Segunda,294974.27,1142
Sexta,254381.35,852
Terca,361363.61,1226
