segmento,valor,clientes
Moda,658509.12,754
Joalheria,185861.85,57
Beleza e Bem-estar,144175.07,338
Calçados,118664.33,188
Ótica,86830.7,72
Eletrônicos,78360.52,30
Moda Feminina,70065.53,54
Gastronomia,66714.78,370
Infantil,66097.48,191
Esportes,51252.76,125
Telefonia,34619.0,6
Presentes e Acessórios,31779.07,105
Casa e Decoração,30445.5,61
Eletrodomésticos,20908.31,6
Papelaria,16661.24,82
Serviços,15313.0,312
Livrarias,11199.74,90
Calçados Femininos,6692.85,3
Supermercado,5931.86,73
Farmácias,1744.92,13
