segmento,valor,clientes
Moda,7051564.83,10046
Gastronomia,1467569.83,6457
Calçados,1444701.94,3716
Joalheria,1354469.45,757
Esportes,1158366.02,2884
Eletrodomésticos,1035718.83,1530
Telefonia,961882.18,256
Beleza e Bem-estar,957419.02,2802
Ótica,733289.04,532
Casa e Decoração,360851.7,574
Presentes e Acessórios,351948.32,1107
Infantil,340974.14,1181
Moda Feminina,325043.41,421
Eletrônicos,270858.96,293
Não informado,242975.46,513
Livrarias,214697.65,1382
Papelaria,160601.36,1094
Pets,139779.53,776
Farmácias,108439.19,960
Serviços,27495.0,814
