sigla,segmento,valor,clientes
CS,Moda,367422.34,574
CS,Gastronomia,141827.16,711
CS,Telefonia,83242.06999999999,20
CS,Calçados,59145.66,177
CS,Esportes,49536.87,151
CS,Joalheria,39537.08,23
CS,Beleza e Bem-estar,36610.46,240
CS,Eletrodomésticos,26396.51,250
CS,Farmácias,18117.13,154
CS,Ótica,15996.08,14
CS,Moda Feminina,15240.25,18
CS,Livrarias,11397.95,107
CS,Não informado,9102.25,17
CS,Pets,8765.28,64
CS,Eletrônicos,7823.0,6
CS,Papelaria,7700.25,115
CS,Infantil,7266.900000000001,39
CS,Lazer,6712.0,72
CS,Presentes e Acessórios,5563.56,28
CS,Gastronomia - Sorvetes,5408.22,44
BS,Moda,502724.19,626
BS,Gastronomia,119319.34,515
BS,Joalheria,97395.8,54
BS,Beleza e Bem-estar,85130.99,240
BS,Esportes,61307.32,116
BS,Infantil,59311.090000000004,168
BS,Calçados,54733.58,119
BS,Moda Feminina,53577.85,33
BS,Casa e Decoração,37325.340000000004,67
BS,Calçados Femininos,27229.34,45
BS,Presentes e Acessórios,26451.34,87
BS,Eletrônicos,18634.27,17
BS,Livrarias,16961.06,114
BS,Telefonia,16563.06,5
BS,Ótica,16439.16,16
BS,Supermercado,13378.72,129
BS,Eletrodomésticos,11402.96,5
BS,Farmácias,6037.09,58
BS,Serviços,4022.83,45
BS,Lazer,1890.5,27
NK,Moda,293788.8,544
NK,Gastronomia,170931.13,717
NK,Casa e Decoração,87515.14,277
NK,Calçados,80164.58,175
NK,Esportes,58152.91,137
NK,Beleza e Bem-estar,55940.86,297
NK,Ótica,49728.68,18
NK,Presentes e Acessórios,27454.16,59
NK,Joalheria,26743.38,28
NK,Infantil,26605.86,85
NK,Farmácias,23206.68,126
NK,Moda Feminina,22874.93,33
NK,Livrarias,21108.5,155
NK,Eletrodomésticos,17072.96,213
NK,Pets,16716.53,86
NK,Papelaria,13122.03,140
NK,Telefonia,11633.0,5
NK,Eletrônicos,7230.2699999999995,16
NK,Lazer,5293.5,55
NK,Gastronomia - Restaurante,4866.63,23
NR,Casa e Decoração,61814.4,145
NR,Moda,56946.85,146
NR,Supermercado,45138.15,160
NR,Gastronomia,40910.53,279
NR,Calçados,34855.83,92
NR,Eletrodomésticos,25754.61,113
NR,Beleza e Bem-estar,16743.920000000002,100
NR,Esportes,16106.17,50
NR,Telefonia,8712.07,9
NR,Pets,7933.58,59
NR,Eletrônicos,7707.0,3
NR,Infantil,7406.06,38
NR,Livrarias,3815.7799999999997,33
NR,Papelaria,3171.16,48
NR,Farmácias,2950.12,33
NR,Presentes e Acessórios,2865.2,37
NR,Fast Food,2591.5,35
NR,Lazer,2386.9,29
NR,Ótica,1787.9,2
NR,Serviços,929.01,50
GS,Moda,229309.98,416
GS,Gastronomia,80976.31,459
GS,Joalheria,43994.43,29
GS,Calçados,42343.72,95
GS,Casa e Decoração,32487.84,127
GS,Esportes,32191.350000000002,68
GS,Beleza e Bem-estar,28021.21,124
GS,Farmácias,15401.960000000001,112
GS,Infantil,15195.19,78
GS,Ótica,12443.5,17
GS,Presentes e Acessórios,11467.72,70
GS,Eletrônicos,11060.91,11
GS,Moda Feminina,10974.41,30
GS,Livrarias,8796.43,78
GS,Pets,5898.1,56
GS,Papelaria,5001.99,65
GS,Telefonia,4356.610000000001,4
GS,Eletrodomésticos,3698.0,2
GS,Ótica e Joalheria,3280.0,2
GS,Kids,2954.31,31
NS,Moda,194609.51,320
NS,Gastronomia,107723.51,364
NS,Calçados,25456.87,45
NS,Esportes,23417.09,65
NS,Beleza e Bem-estar,21485.22,87
NS,Farmácias,19958.18,116
NS,Casa e Decoração,19076.86,82
NS,Joalheria,15602.29,15
NS,Eletrônicos,15101.0,6
NS,Infantil,11307.39,51
NS,Ótica,10708.9,4
NS,Livrarias,8262.4,80
NS,Pets,8042.2699999999995,53
NS,Eletrodomésticos,7939.02,94
NS,Não informado,5886.55,28
NS,Calçados Femininos,5525.2,8
NS,Hub da Saúde,2906.77,1
NS,Presentes e Acessórios,2322.0,11
NS,Outros,1865.0,7
NS,Lazer,1503.0,23
