genero,segmento,valor,clientes,ranking
Feminino,Moda,1248433.9,2013,1
Feminino,Gastronomia,449526.86,2135,2
Feminino,Calçados,236636.98,562,3
Feminino,Beleza e Bem-estar,209241.61,911,4
Feminino,Casa e Decoração,186196.22,585,5
Masculino,Moda,391906.24,559,1
Masculino,Gastronomia,206915.51,811,2
Masculino,Esportes,61923.24,142,3
Masculino,Calçados,59353.29,139,4
Masculino,Joalheria,56560.46,41,5
Outro,Gastronomia,3532.5,6,1
Outro,Esportes,1535.75,2,2
Outro,Calçados,709.97,1,3
Outro,Moda,559.6899999999999,1,4
Outro,Lazer,174.0,1,5
Nao Informado,Moda,3901.84,7,1
Nao Informado,Gastronomia,1713.11,10,2
Nao Informado,Beleza e Bem-estar,663.4200000000001,4,3
Nao Informado,Casa e Decoração,199.95000000000002,2,4
Nao Informado,Livrarias,178.5,4,5
