quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,5.0,1.0,127.02000000000004,Garten Shopping
40%,12.0,2.0,275.14800000000014,Garten Shopping
60%,18.0,3.0,490.61999999999995,Garten Shopping
80%,25.0,5.0,994.0980000000005,Garten Shopping
20%,5.0,1.0,102.1,Nações Shopping
40%,12.0,2.0,244.06000000000003,Nações Shopping
60%,18.0,3.0,401.242,Nações Shopping
80%,24.80000000000001,4.0,775.7360000000003,Nações Shopping
20%,4.0,1.0,102.43599999999999,Continente Shopping
40%,8.0,2.0,266.9440000000001,Continente Shopping
60%,15.0,3.0,481.10999999999996,Continente Shopping
80%,23.0,6.0,892.7420000000001,Continente Shopping
20%,4.0,1.0,159.9,Balneário Shopping
40%,11.0,2.0,390.064,Balneário Shopping
60%,17.0,3.0,816.02,Balneário Shopping
80%,24.0,5.0,1611.72,Balneário Shopping
20%,4.200000000000003,1.0,125.51200000000001,Norte Shopping
40%,12.400000000000006,2.0,285.478,Norte Shopping
60%,19.0,3.0,479.916,Norte Shopping
80%,24.0,5.0,837.256,Norte Shopping
20%,4.0,1.0,143.706,Neumarkt Shopping
40%,12.0,2.0,336.832,Neumarkt Shopping
60%,18.0,3.0,618.3279999999997,Neumarkt Shopping
80%,25.0,5.800000000000011,1130.164,Neumarkt Shopping
