shopping_principal,qtd_clientes,valor_total,ticket_medio,vip_hist,vip_valor_hist,vip_ticket_hist,premium_hist,premium_valor_hist,premium_ticket_hist,potencial_hist,potencial_valor_hist,potencial_ticket_hist,pontual_hist,pontual_valor_hist,pontual_ticket_hist,vip_periodo,vip_valor_periodo,vip_ticket_periodo,premium_periodo,premium_valor_periodo,premium_ticket_periodo,potencial_periodo,potencial_valor_periodo,potencial_ticket_periodo,pontual_periodo,pontual_valor_periodo,pontual_ticket_periodo,high_spenders,pct_valor
Balneário Shopping,387,410687.62,1061.2083204134367,225,326465.31,1450.9569333333334,54,40153.64,743.585925925926,53,30255.38,570.8562264150944,55,13813.29,251.1507272727273,62,220548.62,3557.235806451613,70,96681.36,1381.1622857142856,76,55507.69,730.3643421052632,179,37949.95,212.0108938547486,74,26.53
Neumarkt Shopping,442,334601.04,757.01592760181,264,237626.27,900.0995075757576,79,57489.47,727.7148101265823,57,30297.37,531.5328070175439,42,9187.93,218.7602380952381,31,106472.33,3434.591290322581,77,105885.35,1375.1344155844156,99,71750.81,724.7556565656565,235,50492.55,214.86191489361704,46,21.61
Continente Shopping,483,323502.27999999997,669.7769772256728,226,217653.86,963.0701769911503,97,46867.95,483.1747422680412,82,36968.44,450.8346341463415,78,22012.03,282.2055128205128,35,128762.89,3678.939714285714,51,63490.58,1244.9133333333334,99,69780.56,704.8541414141414,298,61468.25,206.26929530201343,38,20.9
Garten Shopping,420,257904.25,614.057738095238,204,152776.07,748.9023039215687,67,47272.55,705.560447761194,86,42419.08,493.2451162790698,63,15436.55,245.02460317460316,19,61917.119999999995,3258.795789473684,65,85992.86,1322.967076923077,80,54214.0,677.675,256,55780.27,217.8916796875,27,16.66
Nações Shopping,197,120760.16,612.9957360406091,81,76842.23,948.6695061728394,25,17339.97,693.5988000000001,45,16631.19,369.582,46,9946.77,216.23413043478263,9,39919.770000000004,4435.530000000001,21,29956.83,1426.5157142857145,34,23078.07,678.7667647058823,133,27805.49,209.06383458646619,14,7.8
Norte Shopping,152,100584.3,661.7388157894737,78,64016.340000000004,820.7223076923077,23,17189.670000000002,747.3769565217392,25,12470.199999999999,498.80799999999994,26,6908.09,265.69576923076926,8,34679.38,4334.9225,18,22662.56,1259.0311111111112,28,20391.22,728.2578571428572,98,22851.14,233.17489795918368,10,6.5
