segmento,valor,clientes
Moda,564715.68,793
Joalheria,119615.04,59
Calçados,75088.39,173
Esportes,73886.19,162
Gastronomia,72886.04,496
Casa e Decoração,67088.57,213
Eletrônicos,59515.19,33
Beleza e Bem-estar,52164.72,152
Ótica,43365.64,36
Moda Feminina,36629.25,42
Presentes e Acessórios,27737.510000000002,111
Infantil,24673.66,110
Telefonia,19034.32,11
Farmácias,18826.25,105
Eletrodomésticos,14181.230000000001,9
Papelaria,12374.49,115
Livrarias,9509.41,83
Lazer,8680.21,14
Pets,5262.98,59
Kids,2270.54,27
