segmento,valor,clientes
Moda,1241959.32,2034
Gastronomia,380142.54,1800
Calçados,248158.73,784
Esportes,227234.0,679
Joalheria,224730.66999999998,107
Telefonia,221578.73,76
Eletrodomésticos,182732.4,495
Beleza e Bem-estar,147182.04,769
Ótica,137069.06,119
Farmácias,100629.41,381
Infantil,95944.26,353
Papelaria,87525.6,477
Moda Feminina,79944.36,136
Eletrônicos,79570.8,24
Livrarias,68192.96,476
Presentes e Acessórios,66031.37,191
Não informado,58571.18,131
Casa e Decoração,57807.23,187
Pets,37224.17,222
Serviços,11323.89,322
