segmento,valor,clientes
Moda,299112.74,476
Casa e Decoração,60129.46,138
Gastronomia,44036.68,281
Esportes,40874.8,96
Beleza e Bem-estar,39054.64,207
Eletrônicos,35340.369999999995,14
Calçados Femininos,34628.97,54
Papelaria,33688.85,79
Calçados,23486.899999999998,99
Infantil,15698.12,76
Livrarias,15399.86,111
Joalheria,15124.960000000001,27
Pets,13202.18,87
Presentes e Acessórios,8063.83,25
Ótica,3921.8,4
Eletrodomésticos,3774.58,58
Farmácias,1119.08,11
Moda Feminina,489.95000000000005,2
Gastronomia - Restaurante,22.0,1
