dia_semana,valor,transacoes
Domingo,35049759.24,78907
Quarta,20646201.85,44142
Quinta,21694420.44,44797
Sabado,29150103.55,65001
Segunda,27908777.89,56877
Sexta,23071618.71,49604
Terca,23641013.25,49741
