quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,1.0,1.0,98.664,Garten Shopping
40%,4.0,2.0,285.99800000000005,Garten Shopping
60%,10.0,3.0,551.1239999999999,Garten Shopping
80%,18.0,5.0,1026.412,Garten Shopping
20%,1.0,1.0,141.82999999999998,Continente Shopping
40%,3.0,2.0,349.33000000000004,Continente Shopping
60%,7.0,3.0,623.47,Continente Shopping
80%,17.0,5.0,1129.96,Continente Shopping
20%,1.0,1.0,136.0,Neumarkt Shopping
40%,3.0,2.0,347.2,Neumarkt Shopping
60%,7.0,4.0,653.36,Neumarkt Shopping
80%,15.0,7.0,1289.87,Neumarkt Shopping
20%,2.0,1.0,76.56800000000001,Norte Shopping
40%,5.0,2.0,244.19200000000004,Norte Shopping
60%,11.400000000000006,3.0,508.60000000000014,Norte Shopping
80%,19.0,6.0,1099.044,Norte Shopping
20%,1.0,1.0,250.092,Balneário Shopping
40%,3.0,2.0,551.1640000000003,Balneário Shopping
60%,5.0,3.0,928.3419999999999,Balneário Shopping
80%,14.0,5.0,1681.4400000000007,Balneário Shopping
20%,2.0,1.0,99.994,Nações Shopping
40%,3.0,1.0,278.318,Nações Shopping
60%,8.0,2.0,499.47999999999996,Nações Shopping
80%,17.0,4.0,921.5920000000002,Nações Shopping
