shopping_principal,qtd_clientes,valor_total,ticket_medio,vip_hist,premium_hist,potencial_hist,pontual_hist,vip_periodo,premium_periodo,potencial_periodo,pontual_periodo,high_spenders,pct_valor
Balneário Shopping,864,1074407.43,411.20277981459475,501,114,123,126,143,186,212,323,143,29.03
Continente Shopping,1001,815206.25,324.6011592084441,464,141,178,218,77,160,235,529,77,22.03
Neumarkt Shopping,851,758247.16,269.6759186341463,563,101,92,95,95,129,197,430,95,20.49
Garten Shopping,683,497953.08,258.8304421516188,395,108,81,99,48,94,151,390,48,13.46
Nações Shopping,543,354231.44,319.72399609634704,188,87,102,166,32,70,113,328,32,9.57
Norte Shopping,275,200565.76,213.72481380888792,144,52,43,36,27,36,48,164,27,5.42
