quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,2.0,1.0,167.07199999999997,Neumarkt Shopping
40%,7.0,3.0,341.16400000000004,Neumarkt Shopping
60%,12.0,4.0,687.3879999999999,Neumarkt Shopping
80%,20.0,8.0,1336.8700000000001,Neumarkt Shopping
20%,3.0,1.0,129.99,Garten Shopping
40%,8.0,2.0,321.1,Garten Shopping
60%,13.0,4.0,539.97,Garten Shopping
80%,20.0,7.0,986.77,Garten Shopping
20%,2.0,1.0,279.812,Nações Shopping
40%,6.0,2.0,629.8,Nações Shopping
60%,9.0,2.0,854.0640000000001,Nações Shopping
80%,15.0,4.0,1293.922,Nações Shopping
20%,2.0,2.0,129.48000000000002,Continente Shopping
40%,8.0,3.0,293.322,Continente Shopping
60%,13.0,5.0,586.816,Continente Shopping
80%,20.0,8.0,1176.592,Continente Shopping
20%,3.0,1.0,227.53000000000003,Balneário Shopping
40%,8.0,2.0,529.5799999999999,Balneário Shopping
60%,14.0,4.0,996.49,Balneário Shopping
80%,21.0,6.0,1897.29,Balneário Shopping
20%,2.0,1.0,589.29,Norte Shopping
40%,8.0,1.0,718.488,Norte Shopping
60%,11.0,2.0,999.9,Norte Shopping
80%,16.0,3.0,1538.3580000000002,Norte Shopping
