shopping_principal,qtd_clientes,valor_total,ticket_medio,vip_hist,vip_valor_hist,vip_ticket_hist,premium_hist,premium_valor_hist,premium_ticket_hist,potencial_hist,potencial_valor_hist,potencial_ticket_hist,pontual_hist,pontual_valor_hist,pontual_ticket_hist,vip_periodo,vip_valor_periodo,vip_ticket_periodo,premium_periodo,premium_valor_periodo,premium_ticket_periodo,potencial_periodo,potencial_valor_periodo,potencial_ticket_periodo,pontual_periodo,pontual_valor_periodo,pontual_ticket_periodo,high_spenders,pct_valor
Norte Shopping,2178,2497952.2,822.3186746624119,364,539616.9,952.781679677442,345,631634.47,1449.3543673863683,716,875488.12,869.6319471452276,753,451212.71,426.97717278600845,281,916394.83,2826.332603745773,582,817680.35,866.0197818111071,917,680735.53,484.7088171799655,398,83141.49,121.3796818946687,260,41.83
Nações Shopping,1988,1844528.3,541.7120280758327,269,399472.27,767.1253510897369,265,374170.87,927.0829852241819,620,656950.44,576.6461681059317,834,413934.72,320.58654323924486,162,533335.28,2253.424492532892,468,633782.82,671.0911871026462,753,551858.77,433.55977472912645,605,125551.43,117.89679023034071,143,30.89
Balneário Shopping,386,491882.35,383.37975099020827,302,449948.5,421.93613068064144,30,25058.3,371.3254611111111,26,10228.76,227.721125,28,6646.79,124.97711904761904,72,279396.71,978.3088672194679,82,117804.13,425.82307642188437,86,61575.81,281.7756408126757,146,33105.7,126.00101415023333,68,8.24
Neumarkt Shopping,458,418167.06,243.81597821386475,338,361700.64,259.1360825497639,64,37845.27,244.43259468005954,28,13676.58,223.9990854978355,28,4944.57,77.28791666666666,49,183328.45,902.4915632587034,86,119839.02,286.151874236619,77,57013.94,194.54008014058167,246,57985.65,113.23977263048604,47,7.0
Continente Shopping,429,381365.71,195.0806989988361,302,321309.36,205.25133342418937,57,38544.03,245.36605824516042,42,17407.35,133.88143308939738,28,4104.97,74.81541666666666,41,180762.28,728.3743680010377,70,93927.43000000001,256.11477919091305,75,54532.36,178.22690747363748,243,52143.64,92.7210624632569,39,6.39
Garten Shopping,466,337474.81,188.8624227081039,298,276602.07,210.41284771436636,54,30957.34,197.17020403439153,58,19425.82,164.6190100574713,56,10489.58,91.28154931972789,35,121262.72,527.7158430643605,58,80798.81,326.0276956929987,103,74753.15,187.6821498451815,270,60660.13,115.92209885361552,34,5.65
