quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,1.0,1.0,213.51000000000002,Global
40%,2.0,2.0,422.32399999999996,Global
60%,3.0,3.0,720.6360000000001,Global
80%,12.0,5.0,1339.706,Global
