shopping,perfil_historico,ranking,segmento,valor,pct_valor,cupons,clientes
Balneário Shopping,Pontual,1,Moda,21542.85,59.7,60,50
Balneário Shopping,Pontual,2,Calçados,3853.93,10.68,10,10
Balneário Shopping,Pontual,3,Beleza e Bem-estar,3207.41,8.89,21,18
Balneário Shopping,Pontual,4,Gastronomia,2836.0,7.86,39,30
Balneário Shopping,Pontual,5,Infantil,1413.0700000000002,3.92,6,5
Balneário Shopping,Pontual,6,Presentes e Acessórios,1242.6399999999999,3.44,5,5
Balneário Shopping,Pontual,7,Joalheria,665.0,1.84,2,2
Balneário Shopping,Pontual,8,Supermercado,520.66,1.44,9,7
Balneário Shopping,Pontual,9,Esportes,483.96000000000004,1.34,2,2
Balneário Shopping,Pontual,10,Livrarias,321.0,0.89,6,6
Balneário Shopping,Potencial,1,Moda,45434.17,57.4,104,57
Balneário Shopping,Potencial,2,Calçados,8885.93,11.23,19,17
Balneário Shopping,Potencial,3,Beleza e Bem-estar,5610.41,7.09,23,19
Balneário Shopping,Potencial,4,Esportes,3684.91,4.66,4,3
Balneário Shopping,Potencial,5,Infantil,3570.08,4.51,11,9
Balneário Shopping,Potencial,6,Gastronomia,3445.1,4.35,37,21
Balneário Shopping,Potencial,7,Moda Feminina,3180.71,4.02,3,3
Balneário Shopping,Potencial,8,Joalheria,2714.0,3.43,4,4
Balneário Shopping,Potencial,9,Presentes e Acessórios,1977.94,2.5,5,5
Balneário Shopping,Potencial,10,Livrarias,651.7,0.82,6,6
Balneário Shopping,Premium,1,Moda,45748.35,60.83,64,42
Balneário Shopping,Premium,2,Moda Feminina,5489.37,7.3,4,4
Balneário Shopping,Premium,3,Infantil,5286.1900000000005,7.03,13,9
Balneário Shopping,Premium,4,Joalheria,4480.0,5.96,3,3
Balneário Shopping,Premium,5,Calçados,4227.48,5.62,7,7
Balneário Shopping,Premium,6,Beleza e Bem-estar,3323.79,4.42,23,18
Balneário Shopping,Premium,7,Ótica,2520.0,3.35,1,1
Balneário Shopping,Premium,8,Eletrônicos,1849.0,2.46,1,1
Balneário Shopping,Premium,9,Gastronomia,1354.23,1.8,28,14
Balneário Shopping,Premium,10,Presentes e Acessórios,922.3,1.23,3,2
Balneário Shopping,VIP,1,Moda,212740.78,52.13,415,196
Balneário Shopping,VIP,2,Beleza e Bem-estar,45221.75,11.08,139,104
Balneário Shopping,VIP,3,Joalheria,44953.75,11.02,19,14
Balneário Shopping,VIP,4,Gastronomia,20013.08,4.9,210,99
Balneário Shopping,VIP,5,Infantil,19654.27,4.82,68,49
Balneário Shopping,VIP,6,Calçados,18973.61,4.65,38,35
Balneário Shopping,VIP,7,Moda Feminina,15639.59,3.83,15,13
Balneário Shopping,VIP,8,Eletrônicos,11413.66,2.8,13,11
Balneário Shopping,VIP,9,Presentes e Acessórios,10356.24,2.54,28,23
Balneário Shopping,VIP,10,Telefonia,9138.0,2.24,2,2
Continente Shopping,Pontual,1,Moda,31271.65,40.04,123,83
Continente Shopping,Pontual,2,Calçados,12642.47,16.19,38,35
Continente Shopping,Pontual,3,Esportes,7221.77,9.25,34,28
Continente Shopping,Pontual,4,Gastronomia,6449.0,8.26,117,70
Continente Shopping,Pontual,5,Beleza e Bem-estar,6090.85,7.8,52,46
Continente Shopping,Pontual,6,Joalheria,4585.95,5.87,7,7
Continente Shopping,Pontual,7,Moda Feminina,3808.96,4.88,9,9
Continente Shopping,Pontual,8,Infantil,2482.22,3.18,12,10
Continente Shopping,Pontual,9,Presentes e Acessórios,2177.0,2.79,8,8
Continente Shopping,Pontual,10,Farmácias,1362.27,1.74,14,14
Continente Shopping,Potencial,1,Moda,72466.18000000001,51.85,183,104
Continente Shopping,Potencial,2,Calçados,14612.11,10.45,38,31
Continente Shopping,Potencial,3,Joalheria,10171.0,7.28,11,10
Continente Shopping,Potencial,4,Esportes,8785.08,6.29,32,29
Continente Shopping,Potencial,5,Gastronomia,7037.46,5.04,119,60
Continente Shopping,Potencial,6,Beleza e Bem-estar,6355.03,4.55,47,37
Continente Shopping,Potencial,7,Moda Feminina,6255.66,4.48,10,10
Continente Shopping,Potencial,8,Casa e Decoração,5718.84,4.09,19,15
Continente Shopping,Potencial,9,Infantil,4243.94,3.04,14,13
Continente Shopping,Potencial,10,Ótica,4119.98,2.95,5,4
Continente Shopping,Premium,1,Moda,55647.74,35.92,138,68
Continente Shopping,Premium,2,Telefonia,20549.02,13.26,8,6
Continente Shopping,Premium,3,Calçados,19043.47,12.29,40,32
