quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,1.0,1.0,184.55600000000007,Garten Shopping
40%,3.0,2.0,360.5,Garten Shopping
60%,4.0,3.0,603.232,Garten Shopping
80%,13.0,5.0,957.3020000000004,Garten Shopping
20%,1.0,1.0,149.908,Nações Shopping
40%,2.0,2.0,377.97200000000004,Nações Shopping
60%,4.0,2.0,630.1139999999999,Nações Shopping
80%,12.0,4.0,1120.2940000000003,Nações Shopping
20%,1.0,1.0,204.08,Continente Shopping
40%,2.0,2.0,404.57,Continente Shopping
60%,3.0,3.0,748.49,Continente Shopping
80%,10.0,6.0,1358.8700000000001,Continente Shopping
20%,1.0,1.0,239.98200000000003,Neumarkt Shopping
40%,2.0,2.0,437.472,Neumarkt Shopping
60%,3.0,3.0,785.72,Neumarkt Shopping
80%,10.0,5.0,1308.14,Neumarkt Shopping
20%,2.0,1.0,189.92000000000002,Norte Shopping
40%,2.0,2.0,399.228,Norte Shopping
60%,3.0,3.0,629.914,Norte Shopping
80%,9.0,4.0,1106.91,Norte Shopping
20%,1.0,1.0,269.58,Balneário Shopping
40%,2.0,2.0,538.1740000000001,Balneário Shopping
60%,5.0,3.0,972.4779999999998,Balneário Shopping
80%,14.0,4.0,1767.164,Balneário Shopping
