sigla,faixa_etaria,qtd_clientes,pct_clientes,valor_total
BS,25-39 (Millennials),867,37.76132404181185,853504.84
BS,40-54 (Gen X),1041,45.3397212543554,1118727.25
BS,55-69 (Boomers),262,11.411149825783973,334407.43
BS,16-24 (Gen Z),87,3.789198606271777,55992.47
BS,70+ (Silent),38,1.6550522648083623,43118.41999999999
BS,Nao Informado,1,0.04355400696864112,3296.04
CS,25-39 (Millennials),731,34.743346007604565,1009688.4199999999
CS,40-54 (Gen X),959,45.57984790874524,1430474.27
CS,55-69 (Boomers),273,12.975285171102662,393707.37
CS,16-24 (Gen Z),99,4.70532319391635,113338.31000000001
CS,70+ (Silent),40,1.9011406844106464,54151.79999999999
CS,Nao Informado,2,0.09505703422053231,3250.36
NK,25-39 (Millennials),775,31.998348472336914,676382.2899999999
NK,16-24 (Gen Z),83,3.42691990090834,80284.60999999999
NK,40-54 (Gen X),1135,46.862097440132125,1388158.88
NK,55-69 (Boomers),374,15.441783649876134,426815.58
NK,70+ (Silent),54,2.2295623451692816,45914.44
NK,Nao Informado,1,0.041288191577208914,615.9300000000001
GS,16-24 (Gen Z),38,4.260089686098654,23816.44
GS,40-54 (Gen X),397,44.506726457399104,387301.88
GS,25-39 (Millennials),357,40.02242152466368,332039.18
GS,55-69 (Boomers),88,9.865470852017937,89879.55000000002
GS,Nao Informado,3,0.336322869955157,431.2
GS,70+ (Silent),9,1.0089686098654709,5448.360000000001
NR,25-39 (Millennials),941,39.73817567567568,932522.7400000001
NR,16-24 (Gen Z),84,3.5472972972972974,76223.73999999999
NR,40-54 (Gen X),1025,43.28547297297297,1120202.44
NR,55-69 (Boomers),282,11.908783783783784,331536.57999999996
NR,Nao Informado,3,0.1266891891891892,2221.39
NR,70+ (Silent),33,1.3935810810810811,68081.79000000001
NS,55-69 (Boomers),67,8.140947752126367,48008.87000000001
NS,25-39 (Millennials),366,44.471445929526126,252651.3
NS,40-54 (Gen X),335,40.704738760631834,352149.68000000005
NS,16-24 (Gen Z),49,5.953827460510328,33117.7
NS,Nao Informado,2,0.24301336573511542,74.75
NS,70+ (Silent),4,0.48602673147023084,1167.47
