faixa_etaria,segmento,valor,clientes,ranking
25-39 (Millennials),Moda,1429375.59,2197,1
25-39 (Millennials),Joalheria,385389.83,213,2
25-39 (Millennials),Gastronomia,274243.12,1487,3
25-39 (Millennials),Casa e Decoração,229568.86,545,4
25-39 (Millennials),Beleza e Bem-estar,228324.91,828,5
55-69 (Boomers),Moda,573153.91,748,1
55-69 (Boomers),Joalheria,121419.84,75,2
55-69 (Boomers),Casa e Decoração,107950.92,224,3
55-69 (Boomers),Telefonia,103680.5,28,4
55-69 (Boomers),Beleza e Bem-estar,97270.64,246,5
40-54 (Gen X),Moda,1954576.71,2726,1
40-54 (Gen X),Joalheria,454922.68,272,2
40-54 (Gen X),Gastronomia,371671.6,1928,3
40-54 (Gen X),Beleza e Bem-estar,335532.47,1046,4
40-54 (Gen X),Calçados,314871.88,837,5
16-24 (Gen Z),Moda,114579.48,220,1
16-24 (Gen Z),Beleza e Bem-estar,37705.26,91,2
16-24 (Gen Z),Eletrônicos,33530.4,16,3
16-24 (Gen Z),Joalheria,31939.579999999998,31,4
16-24 (Gen Z),Gastronomia,30033.32,174,5
70+ (Silent),Moda,66688.85,91,1
70+ (Silent),Serviços,37864.45,1,2
70+ (Silent),Casa e Decoração,23032.75,38,3
70+ (Silent),Moda Feminina,15132.07,21,4
70+ (Silent),Eletrônicos,12907.0,4,5
Nao Informado,Moda,3180.6400000000003,6,1
Nao Informado,Beleza e Bem-estar,2496.51,4,2
Nao Informado,Telefonia,1999.0,1,3
Nao Informado,Eletrodomésticos,1355.8799999999999,2,4
Nao Informado,Gastronomia,327.5,5,5
