faixa_etaria,Feminino,Masculino,Nao Informado,Outro
Boomers (1946-1964),510,220,0,0
Gen X (1965-1980),2384,919,2,1
Gen Z (1997-2012),821,291,3,2
Millennials (1981-1996),3755,1485,2,5
Nao Informado,2,1,3,0
Silent (antes 1946),9,4,0,0
