sigla,genero,qtd_clientes,pct_clientes,valor_total
CS,Feminino,1579,68.77177700348433,1607981.63
CS,Masculino,710,30.923344947735192,793083.89
CS,Nao Informado,4,0.17421602787456447,7515.0599999999995
CS,Outro,3,0.13066202090592335,465.87
BS,Masculino,483,22.956273764258555,618612.6900000001
BS,Feminino,1618,76.90114068441065,2382285.87
BS,Nao Informado,3,0.14258555133079848,3711.9700000000003
NK,Masculino,653,26.96118909991742,750791.2999999999
NK,Feminino,1765,72.87365813377374,1862239.75
NK,Outro,3,0.12386457473162675,4193.7
NK,Nao Informado,1,0.041288191577208914,946.98
NR,Feminino,574,64.34977578475336,462911.86
NR,Masculino,315,35.313901345291484,374916.85
NR,Nao Informado,2,0.2242152466367713,278.8
NR,Outro,1,0.11210762331838565,809.0999999999999
GS,Feminino,1708,72.12837837837837,1660763.9500000002
GS,Masculino,659,27.82939189189189,865752.46
GS,Outro,1,0.04222972972972973,4272.2699999999995
NS,Feminino,605,73.51154313487241,507222.28
NS,Masculino,217,26.366950182260023,179017.90000000002
NS,Nao Informado,1,0.12150668286755771,929.5899999999999
