segmento,valor,clientes
Moda,812535.27,1256
Joalheria,316129.03,204
Beleza e Bem-estar,196884.26,546
Calçados,175574.05,416
Moda Feminina,144441.6,151
Ótica,139630.74,59
Presentes e Acessórios,120819.9,200
Casa e Decoração,119259.87,359
Telefonia,106300.32,32
Gastronomia,102945.22,661
Esportes,98623.35,217
Eletrônicos,70439.38,47
Serviços,57009.74,3
Livrarias,36652.96,245
Infantil,27559.010000000002,122
Papelaria,24584.14,165
Farmácias,19929.21,140
Pets,17932.25,118
Eletrodomésticos,14910.57,160
Lazer,1463.07,24
