segmento,valor,clientes
Moda,823775.4,1287
Joalheria,250150.66,180
Gastronomia,155029.19,838
Casa e Decoração,153791.52,516
Beleza e Bem-estar,130969.14,473
Presentes e Acessórios,129970.37,215
Eletrônicos,129690.09,62
Calçados,125582.69,385
Ótica,120067.67,62
Moda Feminina,106301.98,157
Esportes,89456.19,267
Papelaria,75071.88,398
Telefonia,68138.14,31
Livrarias,59590.44,363
Eletrodomésticos,57396.11,291
Infantil,57039.340000000004,222
Pets,51786.61,186
Farmácias,31874.88,199
Serviços,1495.4,4
Salão de Beleza | Barbearia,994.03,3
