dia_semana,valor,transacoes
Domingo,371802.07,1468
Quarta,354730.49,1438
Quinta,335637.97,1360
Sabado,401867.12,1615
Segunda,366128.75,1504
Sexta,355011.68,1408
Terca,432993.65,1584
