segmento,valor,clientes
Moda,1631326.29,2045
Joalheria,357824.43,179
Esportes,241972.44,505
Calçados,238121.19,539
Gastronomia,205630.89,1111
Casa e Decoração,188829.59,562
Beleza e Bem-estar,162081.13,421
Ótica,158356.64,129
Serviços,140593.36,431
Eletrônicos,132566.76,80
Telefonia,112054.56,58
Moda Feminina,100617.54,79
Presentes e Acessórios,78183.62,321
Infantil,75575.32,299
Farmácias,49700.55,294
Eletrodomésticos,37436.8,24
Papelaria,33562.51,253
Livrarias,28507.5,240
Pets,22257.79,171
Lazer,9040.74,23
