faixa_etaria,periodo_dia,valor,transacoes
Boomers (1946-1964),Manha (6h-12h),20361.74,66
Boomers (1946-1964),Noite (18h-22h),13814.38,102
Boomers (1946-1964),Tarde (12h-18h),13892.630000000001,88
Gen X (1965-1980),Manha (6h-12h),72424.15,359
Gen X (1965-1980),Noite (18h-22h),133743.36,729
Gen X (1965-1980),Tarde (12h-18h),139622.12,893
Gen Z (1997-2012),Manha (6h-12h),14648.539999999999,91
Gen Z (1997-2012),Noite (18h-22h),51685.99,442
Gen Z (1997-2012),Tarde (12h-18h),57579.52,466
Millennials (1981-1996),Manha (6h-12h),95299.23,603
Millennials (1981-1996),Noite (18h-22h),298175.45,1430
Millennials (1981-1996),Tarde (12h-18h),304973.92,1791
Nao Informado,Noite (18h-22h),1407.05,2
Nao Informado,Tarde (12h-18h),396.46000000000004,4
