sigla,genero,qtd_clientes,pct_clientes,valor_total
CS,Feminino,293,73.06733167082294,204222.42
CS,Masculino,106,26.433915211970078,55158.770000000004
CS,Nao Informado,2,0.4987531172069825,1355.3999999999999
BS,Feminino,247,78.91373801916933,265264.41000000003
BS,Masculino,65,20.766773162939298,63695.219999999994
BS,Nao Informado,1,0.3194888178913738,722.5
NK,Feminino,259,72.3463687150838,188445.13
NK,Masculino,99,27.6536312849162,72371.82
NR,Feminino,114,71.25,62263.74
NR,Masculino,45,28.125,27827.13
NR,Nao Informado,1,0.625,63.8
GS,Feminino,195,74.42748091603053,150010.36
GS,Masculino,66,25.190839694656486,36481.08
GS,Outro,1,0.38167938931297707,2624.19
NS,Feminino,119,76.77419354838709,68350.98
NS,Masculino,36,23.225806451612904,19167.59
