faixa_etaria,Feminino,Masculino,Nao Informado,Outro
16-24 (Gen Z),77,28,1,0
25-39 (Millennials),563,182,0,1
40-54 (Gen X),447,159,1,0
55-69 (Boomers),76,29,0,0
70+ (Silent),4,5,0,0
Nao Informado,1,1,2,0
