genero,segmento,valor,clientes,ranking
Feminino,Moda,347457.73,605,1
Feminino,Gastronomia,120330.85,646,2
Feminino,Joalheria,72137.7,39,3
Feminino,Beleza e Bem-estar,67860.83,275,4
Feminino,Calçados,50816.46,162,5
Masculino,Moda,93425.24,169,1
Masculino,Gastronomia,44690.86,241,2
Masculino,Beleza e Bem-estar,21680.37,74,3
Masculino,Esportes,16918.68,42,4
Masculino,Joalheria,15696.09,15,5
Outro,Moda,1439.6999999999998,1,1
Outro,Beleza e Bem-estar,425.0,1,2
Outro,Calçados,399.0,1,3
Outro,Moda Feminina,339.0,1,4
Outro,Farmácias,21.49,1,5
Nao Informado,Eletrodomésticos,1243.05,1,1
Nao Informado,Moda,486.5,1,2
Nao Informado,Beleza e Bem-estar,250.0,2,3
Nao Informado,Livrarias,98.35,1,4
Nao Informado,Gastronomia,63.8,1,5
