faixa_etaria,segmento,valor,clientes,ranking
Millennials (1981-1996),Moda,250363.25,439,1
Millennials (1981-1996),Gastronomia,86041.78,488,2
Millennials (1981-1996),Joalheria,64879.43,27,3
Millennials (1981-1996),Beleza e Bem-estar,51663.93,194,4
Millennials (1981-1996),Calçados,36906.33,120,5
Gen X (1965-1980),Moda,120505.16,193,1
Gen X (1965-1980),Gastronomia,49995.97,225,2
Gen X (1965-1980),Beleza e Bem-estar,24129.02,92,3
Gen X (1965-1980),Joalheria,20709.61,21,4
Gen X (1965-1980),Calçados,17024.54,40,5
Gen Z (1997-2012),Moda,48739.88,117,1
Gen Z (1997-2012),Gastronomia,19738.079999999998,142,2
Gen Z (1997-2012),Casa e Decoração,11570.06,27,3
Gen Z (1997-2012),Beleza e Bem-estar,11451.79,54,4
Gen Z (1997-2012),Calçados,10705.82,35,5
Boomers (1946-1964),Moda,23200.88,27,1
Boomers (1946-1964),Gastronomia,9182.98,31,2
Boomers (1946-1964),Beleza e Bem-estar,2593.6,11,3
Boomers (1946-1964),Moda Feminina,2493.61,3,4
Boomers (1946-1964),Calçados,1721.83,7,5
Nao Informado,Eletrodomésticos,1243.05,1,1
Nao Informado,Beleza e Bem-estar,377.86,1,2
Nao Informado,Gastronomia,126.69999999999999,2,3
Nao Informado,Livrarias,55.9,1,4
