segmento,valor,clientes
Moda,7201154.67,9459
Joalheria,2552725.93,1493
Beleza e Bem-estar,2227776.02,5500
Calçados,1598861.87,3705
Casa e Decoração,1597505.63,3897
Gastronomia,1570227.96,6008
Telefonia,1164167.23,306
Esportes,986483.48,2486
Ótica,983675.25,752
Eletrônicos,926611.11,590
Serviços,896219.88,1370
Presentes e Acessórios,889814.1,1714
Moda Feminina,787890.2,739
Infantil,604360.36,1761
Livrarias,495111.16,2665
Eletrodomésticos,270718.38,1642
Papelaria,249125.62,1506
Farmácias,206910.76,1134
Pets,161682.48,756
Salão de Beleza | Barbearia,12978.99,52
