segmento,valor,clientes
Moda,2535502.36,2706
Joalheria,747844.0,293
Beleza e Bem-estar,566446.57,1154
Calçados,410387.74,683
Moda Feminina,371204.91,321
Gastronomia,312419.06,1366
Infantil,282227.12,680
Eletrônicos,246967.52,97
Presentes e Acessórios,241302.75,573
Casa e Decoração,233793.42,316
Esportes,184047.98,435
Ótica,139154.24,126
Telefonia,106017.27,32
Livrarias,89193.64,506
Papelaria,80136.88,335
Eletrodomésticos,48875.96,26
Supermercado,36243.9,247
Calçados Femininos,34860.84,68
Serviços,31961.399999999998,343
Farmácias,11232.3,84
