segmento,valor,clientes
Moda,177458.3,357
Gastronomia,109421.13,408
Beleza e Bem-estar,60661.909999999996,111
Calçados,24362.96,69
Infantil,21293.47,89
Esportes,19075.37,64
Farmácias,18897.87,105
Casa e Decoração,12020.77,58
Pets,10646.880000000001,63
Livrarias,7590.45,61
Eletrodomésticos,6633.65,94
Ótica,5793.65,10
Joalheria,4961.6,11
Presentes e Acessórios,3950.63,11
Não informado,3903.24,18
Calçados Femininos,3151.52,4
Outros,3086.0,9
Papelaria,3051.0,18
Gastronomia - Sorvetes,1979.0,22
Serviços,1348.8,22
