faixa_etaria,segmento,valor,clientes,ranking
Millennials (1981-1996),Moda,5799832.7700000005,7849,1
Millennials (1981-1996),Joalheria,1704451.07,734,2
Millennials (1981-1996),Beleza e Bem-estar,1400979.73,3254,3
Millennials (1981-1996),Calçados,1305948.7,2769,4
Millennials (1981-1996),Gastronomia,1159935.09,5784,5
Gen X (1965-1980),Moda,3917723.53,4577,1
Gen X (1965-1980),Joalheria,1153324.51,484,2
Gen X (1965-1980),Beleza e Bem-estar,826573.04,2019,3
Gen X (1965-1980),Calçados,820156.14,1674,4
Gen X (1965-1980),Gastronomia,729428.7,3365,5
Gen Z (1997-2012),Moda,1299143.83,2114,1
Gen Z (1997-2012),Beleza e Bem-estar,389377.59,991,2
Gen Z (1997-2012),Gastronomia,351066.74,1499,3
Gen Z (1997-2012),Calçados,312648.16,744,4
Gen Z (1997-2012),Joalheria,306518.77,198,5
Boomers (1946-1964),Moda,1024591.53,1206,1
Boomers (1946-1964),Joalheria,517781.97000000003,110,2
Boomers (1946-1964),Moda Feminina,234333.22,192,3
Boomers (1946-1964),Calçados,211588.15,409,4
Boomers (1946-1964),Gastronomia,189397.94,756,5
Silent (antes 1946),Moda,17617.16,25,1
Silent (antes 1946),Joalheria,8552.4,3,2
Silent (antes 1946),Gastronomia,6658.46,25,3
Silent (antes 1946),Moda Feminina,5709.58,7,4
Silent (antes 1946),Calçados,5345.62,11,5
Nao Informado,Eletrodomésticos,2199.0,1,1
Nao Informado,Beleza e Bem-estar,479.64,2,2
Nao Informado,Calçados,129.99,1,3
Nao Informado,Gastronomia,122.8,1,4
Nao Informado,Moda,119.98,1,5
