segmento,valor,clientes
Moda,432723.15,564
Joalheria,138878.46000000002,43
Infantil,95847.99,245
Gastronomia,95173.58,488
Beleza e Bem-estar,88700.62,238
Moda Feminina,79866.82,29
Calçados,50728.159999999996,119
Esportes,42854.6,92
Presentes e Acessórios,36674.59,104
Casa e Decoração,35694.38,69
Calçados Femininos,32841.5,48
Eletrônicos,28104.23,15
Ótica,19425.0,9
Livrarias,15831.92,121
Farmácias,7427.84,56
Eletrodomésticos,4568.7300000000005,4
Suplementos esportivos,1237.89,4
Serviços,1188.0,26
Lazer,1034.9,13
Não informado,429.0,1
