segmento,valor,clientes
Moda,2199685.73,3227
Joalheria,632753.02,313
Calçados,396203.54,1040
Esportes,360086.97000000003,790
Serviços,356513.37,286
Beleza e Bem-estar,261250.08,607
Casa e Decoração,234963.41,699
Gastronomia,233487.85,1453
Telefonia,217385.32,74
Presentes e Acessórios,199810.71,709
Ótica,161592.29,186
Eletrônicos,146321.55,105
Infantil,124870.33,458
Eletrodomésticos,120220.02,50
Moda Feminina,96641.34,83
Farmácias,81415.94,392
Livrarias,45698.55,345
Papelaria,37440.42,281
Pets,31951.76,206
Kids,4186.79,46
