faixa_etaria,Feminino,Masculino,Nao Informado,Outro
Boomers (1946-1964),3721,2143,1,4
Gen X (1965-1980),14847,7951,1,8
Gen Z (1997-2012),7993,4133,0,18
Millennials (1981-1996),24488,13005,0,26
Nao Informado,2,0,9,0
Silent (antes 1946),98,46,0,0
