faixa_etaria,periodo_dia,valor,transacoes
Boomers (1946-1964),Manha (6h-12h),2236231.93,4693
Boomers (1946-1964),Noite (18h-22h),3536607.81,8722
Boomers (1946-1964),Tarde (12h-18h),4657193.21,9896
Gen X (1965-1980),Manha (6h-12h),8267044.51,20178
Gen X (1965-1980),Noite (18h-22h),15153307.87,42109
Gen X (1965-1980),Tarde (12h-18h),14791378.46,39003
Gen Z (1997-2012),Manha (6h-12h),2520797.8,7607
Gen Z (1997-2012),Noite (18h-22h),6542764.91,21231
Gen Z (1997-2012),Tarde (12h-18h),4572339.78,14923
Millennials (1981-1996),Manha (6h-12h),11894035.290000001,30714
Millennials (1981-1996),Noite (18h-22h),23659634.17,69125
Millennials (1981-1996),Tarde (12h-18h),19779182.36,58084
Nao Informado,Manha (6h-12h),2642.85,5
Nao Informado,Noite (18h-22h),6334.44,23
Nao Informado,Tarde (12h-18h),3201.5,16
Silent (antes 1946),Manha (6h-12h),39292.4,58
Silent (antes 1946),Noite (18h-22h),82522.35,184
Silent (antes 1946),Tarde (12h-18h),83661.81999999999,244
