persona,qtd_clientes,valor_total,ticket_medio,freq_media,idade_media,pct_clientes,pct_valor
Executiva Premium,7931,90514540.72,11412.752581011222,33.081326440549745,46.005547850208046,3.122084486416905,16.41587216361109
Cliente Regular,94352,85985833.49,911.3302684627777,2.7534445480752927,41.24952190727126,37.14221604619945,15.594538062341384
Executivo Exigente,7075,70679436.66,9990.026383038869,18.27434628975265,39.818220398924886,2.785115085285538,12.818543712173266
Fashionista Premium,6238,61444087.51,9849.9659361975,30.077108047451105,32.40099406766073,2.455625145160592,11.143604969439133
Senior VIP,4148,47725507.84,11505.667270973965,21.097396335583415,62.33196721311475,1.632884434454334,8.65557985946613
Mae Moderna,23816,45381191.86,1905.491764360094,6.861101780315754,39.44958830448664,9.375307543626908,8.230410697332964
Foodie,22285,33119795.38,1486.1922988557326,9.593717747363698,43.63068003056317,8.772620448846391,6.006662826969456
Senior Tradicional,29105,32973031.59,1132.8992128500258,3.4242226421577047,62.838447002233295,11.457353294308916,5.980045494596971
Comprador Seletivo,8445,26857689.95,3180.306684428656,1.8126702190645352,44.05406046235922,3.3244235894327026,4.870956658698298
Jovem Engajado,10825,19449509.54,1796.7214355658198,10.023187066974597,25.22392609699769,4.261324494447484,3.5273963687364365
Jovem Explorer,26600,17041538.78,640.6593526315789,1.826578947368421,24.960488721804513,10.471245408988738,3.0906826666567535
Beauty Lover,8694,13307510.37,1530.6545169082124,5.821025994939038,39.967415083477256,3.4224438942010558,2.413472877530488
Fitness,4501,6786641.89,1507.8075738724726,4.941346367473895,43.85485663480773,1.7718449468367785,1.2308369992295747
Cliente Premium,14,117977.73,8426.980714285713,23.428571428571427,31.363636363636363,0.005511181794204598,0.021396643218066863
