sigla,segmento,valor,clientes
BS,Moda,35076569.51,35148
BS,Joalheria,7002199.52,3393
BS,Calçados,6841998.61,14156
BS,Gastronomia,6838693.3,20912
BS,Telefonia,6552238.73,1652
BS,Esportes,5397782.8100000005,11411
BS,Eletrodomésticos,4482100.54,6231
BS,Beleza e Bem-estar,4476162.01,11838
BS,Ótica,4051760.85,2806
BS,Casa e Decoração,1950395.33,3009
BS,Moda Feminina,1849055.53,2287
BS,Infantil,1747399.32,4796
BS,Eletrônicos,1557324.61,955
BS,Não informado,1358957.21,2254
BS,Presentes e Acessórios,1340166.96,3929
BS,Livrarias,1021100.23,5536
BS,Papelaria,935507.77,4690
BS,Farmácias,762972.72,4289
BS,Pets,718535.47,2824
BS,Vestuário feminino,287820.52,420
CS,Moda,70161315.8,45548
CS,Joalheria,21291185.88,6599
CS,Beleza e Bem-estar,16048903.83,22447
CS,Calçados,12273777.63,17506
CS,Moda Feminina,9260333.45,6278
CS,Gastronomia,8247949.56,23742
CS,Infantil,6536790.96,11684
CS,Eletrônicos,6408245.38,2397
CS,Esportes,5853255.63,9773
CS,Casa e Decoração,5801884.75,5472
CS,Ótica,4738347.16,3296
CS,Presentes e Acessórios,4434298.03,9723
CS,Telefonia,3122726.57,727
CS,Calçados Femininos,2171372.92,3437
CS,Livrarias,1517832.1300000001,7127
CS,Eletrodomésticos,1410198.3,616
CS,Serviços,676713.25,3437
CS,Papelaria,411031.6,1788
CS,Supermercado,337900.49,2541
CS,Não informado,186222.16,273
NK,Moda,27814361.66,24528
NK,Joalheria,9925149.15,4551
NK,Beleza e Bem-estar,7830267.94,14403
NK,Calçados,7224053.4799999995,12055
NK,Gastronomia,6460615.65,15881
NK,Casa e Decoração,5948250.59,10803
NK,Esportes,4300037.57,7949
NK,Moda Feminina,4232168.4,3706
NK,Telefonia,3897832.22,1166
NK,Ótica,3673712.42,2210
NK,Presentes e Acessórios,3107329.72,5217
NK,Eletrônicos,2845526.29,1909
NK,Serviços,2630216.86,3501
NK,Livrarias,1889598.01,7951
NK,Infantil,1879710.87,4525
NK,Papelaria,1142120.9,4828
NK,Eletrodomésticos,875538.76,4967
NK,Farmácias,790356.23,3567
NK,Pets,745346.26,2156
NK,Gastronomia - Restaurante,178354.38,511
GS,Moda,7347357.04,11848
GS,Eletrodomésticos,6062212.32,5249
GS,Casa e Decoração,4796259.5,7136
GS,Calçados,3015769.93,6907
GS,Beleza e Bem-estar,2968599.76,8202
GS,Eletrônicos,2928618.14,1414
GS,Supermercado,2492133.0,4407
GS,Esportes,2248573.06,4662
GS,Telefonia,2042895.16,1067
GS,Serviços,1895752.43,2707
GS,Gastronomia,1753590.42,7878
GS,Joalheria,1210988.71,1116
GS,Infantil,1062831.37,2944
GS,Presentes e Acessórios,611804.3099999999,3070
GS,Ótica,562869.4,749
GS,Pets,534121.62,2431
GS,Papelaria,468508.81,1976
GS,Livrarias,387808.62,2200
GS,Outros,371481.89,220
GS,Lazer,59865.41,389
NR,Moda,35507478.34,32909
NR,Joalheria,12431876.97,4298
NR,Calçados,7805375.56,14737
NR,Gastronomia,5342623.45,17069
NR,Esportes,4701596.86,9173
NR,Beleza e Bem-estar,4604149.52,9828
NR,Casa e Decoração,3696208.09,8207
NR,Serviços,3029872.29,3041
NR,Presentes e Acessórios,2926610.3,8902
NR,Telefonia,2819474.38,997
NR,Infantil,2651867.37,7038
NR,Moda Feminina,2374143.03,2751
NR,Ótica,2200174.61,2238
NR,Eletrônicos,2190456.53,1504
NR,Farmácias,1377998.48,5266
NR,Eletrodomésticos,1106420.09,552
NR,Livrarias,892759.09,5294
NR,Papelaria,855337.73,4121
NR,Pets,470501.57,2417
NR,Não informado,404807.15,501
NS,Moda,15098123.6,15173
NS,Gastronomia,2584447.45,7665
NS,Beleza e Bem-estar,2433788.47,5943
NS,Joalheria,2367348.54,1556
NS,Casa e Decoração,2356355.59,3655
NS,Esportes,1845875.73,3471
NS,Calçados,1773471.3800000001,4390
NS,Eletrônicos,1485644.4,370
NS,Calçados Femininos,1391609.33,1459
NS,Infantil,1193109.06,3184
NS,Pets,531882.46,2022
NS,Farmácias,488531.32,2259
NS,Livrarias,439386.71,2256
NS,Presentes e Acessórios,356809.38,740
NS,Ótica,351955.43,449
NS,Outros,234497.8,679
NS,Hub da Saúde,228196.39,66
NS,Não informado,221158.87,1303
NS,Papelaria,215972.3,826
NS,Eletrodomésticos,163173.67,1267
