sigla,genero,qtd_clientes,pct_clientes,valor_total
BS,Masculino,20517,38.67337706401266,34512192.07000001
BS,Feminino,32423,61.11550931161879,60064503.89999999
BS,Nao Informado,46,0.08670738143708061,51437.19
BS,Outro,66,0.12440624293146346,71452.09000000001
CS,Masculino,24203,34.71357677634032,56122205.41
CS,Feminino,45408,65.12721952898654,124907550.54
CS,Nao Informado,54,0.07745044605719859,49025.12000000001
CS,Outro,57,0.08175324861593185,83113.86
NK,Masculino,15501,36.28086600351082,31420474.87
NK,Feminino,27152,63.55061439438268,66045806.64000001
NK,Outro,45,0.1053247513165594,49106.87
NK,Nao Informado,27,0.06319485078993564,32943.619999999995
GS,Masculino,12520,40.866953910432166,17813361.02
GS,Feminino,18060,58.95025460242852,25146992.279999997
GS,Nao Informado,20,0.06528267397832616,11754.16
GS,Outro,36,0.11750881316098707,33849.62
NR,Outro,47,0.09406961151251926,72768.53
NR,Masculino,19301,38.63058663410924,36773520.05
NR,Feminino,30588,61.22130376478594,61263388.22999998
NR,Nao Informado,27,0.054039989592298304,23277.18
NS,Feminino,15588,62.32208539900847,23282594.82
NS,Masculino,9369,37.45802015032784,12631402.54
NS,Outro,26,0.10395010395010396,28749.870000000006
NS,Nao Informado,29,0.11594434671357748,16994.78
