faixa_etaria,Feminino,Masculino,Nao Informado,Outro
16-24 (Gen Z),16771293.9,8718876.56,3114.0,51027.51
25-39 (Millennials),128496975.81,69874093.07,15510.73,213768.93
40-54 (Gen X),157508094.57,79699686.12,4639.25,60692.05
55-69 (Boomers),49211876.44,25431842.82,525.59,11760.86
70+ (Silent),8635660.84,5341168.46,1009.49,1791.49
Nao Informado,86934.85,207488.93,160632.99,0.0
