Metrica,High Spenders,Demais Clientes
Qtd Clientes,25404.0,228613.0
Valor Total (R$),270362612.17,280875459.1700001
Ticket Medio (R$),10642.52134191466,1228.6066810286381
Freq Media Compras,26.240552668871043,4.29418274551316
Idade Media,43.599984248247615,41.49226072636171
% Feminino,66.31239174933081,61.63735220656743
% Masculino,33.63249881908361,38.16799569578283
